module,scenario,year,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,skip_bars_since_rsi_up_5,2026,89,2,30,59,0,0.33707865168539325,0.09390483308107571,0.044039515338515245,-0.0512822746792326,-0.046174985774201094,-0.0023428001532859737,-0.0168514449313929,-0.0023428001532859737,0.9310862380691686,10.685393258426966,8.0,-0.21953813037602288,-0.09578674914558986,-0.13583164708244005,0.5628061233925378
breakout,skip_candle_range_atr_3,2021,22,0,5,17,0,0.22727272727272727,0.03816852440117598,0.028613969402410788,-0.03789876287277232,-0.04030578702479637,-0.020610743037784072,-0.019446828258448012,-0.020610743037784072,0.29621116199141984,8.681818181818182,7.0,-0.07752759515746466,-0.07021100659784821,-0.0738918621764938,1.0
breakout,skip_candle_range_atr_3,2022,30,0,10,20,0,0.3333333333333333,0.06170680737598448,0.03219103192603101,-0.036016227032849235,-0.033175982292369954,-0.003441882229904662,-0.016280857950506156,-0.003441882229904662,0.8566528542773748,10.6,7.5,-0.09928727415436644,-0.0780540297187915,-0.0932861727078606,0.8256146819727066
breakout,skip_candle_range_atr_3,2023,98,0,44,54,0,0.4489795918367347,0.07868324232011316,0.035217094412292815,-0.04153645615038603,-0.03964780418288366,0.012439734999633998,-0.009126838995460795,0.012439734999633998,1.543518091383835,13.53061224489796,12.0,-0.13822502620668287,-0.07225103263285756,-0.10097576535850947,0.5509173089900906
breakout,skip_candle_range_atr_3,2024,149,0,69,80,0,0.46308724832214765,0.06679985068826065,0.03290221075156796,-0.04047832683986574,-0.03498861052506447,0.009200829196649165,-0.0037972524447712486,0.009200829196649165,1.4233511045689236,12.449664429530202,10.0,-0.1437077899233894,-0.08050886881069368,-0.10103692234151566,0.2837317148420168
breakout,skip_candle_range_atr_3,2025,100,0,34,66,0,0.34,0.07604713245721219,0.057391322732537664,-0.04450223958252829,-0.0419172360546366,-0.0035154530890165268,-0.024077879367396804,-0.0035154530890165268,0.880310651233862,11.7,10.0,-0.16202942358134653,-0.08118611680550747,-0.10604439711041255,0.39305969343354047
breakout,skip_candle_range_atr_3,2026,84,1,31,53,0,0.36904761904761907,0.08821069818160533,0.04353303278555676,-0.05211980474248275,-0.045426962689717465,-0.00033116675859310547,-0.013887027002933539,-0.00033116675859310547,0.9899295848705433,11.404761904761905,9.5,-0.21953813037602288,-0.09785343318610547,-0.13583164708244005,0.4837056611993903
breakout,skip_distance_to_upper_band_atr_1,2021,19,0,3,16,0,0.15789473684210525,0.0345601345423879,0.028613969402410788,-0.03679995691200307,-0.039238936010744296,-0.025532574050783446,-0.017533161356969917,-0.025532574050783446,0.1760878482057172,7.315789473684211,7.0,-0.10933888191320018,-0.0807087238330382,-0.10933888191320018,1.0
breakout,skip_distance_to_upper_band_atr_1,2022,32,0,11,21,0,0.34375,0.05968243868228062,0.03292121755966737,-0.029372389478493972,-0.030899963378906214,0.0012402077017722932,-0.00915943562442384,0.0012402077017722932,1.0643407070727513,11.375,9.0,-0.08728507126135476,-0.053424573934180104,-0.07702835843628447,0.8054511647081937
breakout,skip_distance_to_upper_band_atr_1,2023,95,0,41,54,0,0.43157894736842106,0.08077092817083999,0.03119807554154752,-0.03914229687972259,-0.034209530354709194,0.012609726563151777,-0.012747180845423922,0.012609726563151777,1.5667469714697393,13.536842105263158,12.0,-0.13822502620668287,-0.07187920062474071,-0.09279436002834045,0.5815290528921623
