module,scenario,symbol,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,lock25_2,ARM,6,0,3,3,0,0.5,0.13174719271403265,0.0286589363552876,-0.06538763858152956,-0.0786676514767285,0.033179777066251546,-0.006802471855290204,0.033179777066251546,2.014863903515367,4.666666666666667,3.5,-0.09651624328883923,-0.09205409533581155,-0.09651624328883923,1.0
breakout,lock25_2,ASML,13,0,8,5,0,0.6153846153846154,0.033938363295558494,0.010912343047787543,-0.05042934787221527,-0.0516226700781075,0.001489243615645508,0.007946037340617274,0.001489243615645508,1.0767813498300594,7.384615384615385,6.0,-0.10093068652950499,-0.07572414391878976,-0.10093068652950499,0.9176639635539467
breakout,lock25_2,AVGO,19,0,12,7,0,0.631578947368421,0.04734188377014661,0.022810985453399102,-0.06117790601631249,-0.057458548708599455,0.0073609085856616765,0.009107827292418325,0.0073609085856616765,1.3265820999642777,8.736842105263158,7.0,-0.08346583173004374,-0.08135109920310138,-0.08346583173004374,0.8163222414776772
breakout,lock25_2,BAC,9,0,6,3,0,0.6666666666666666,0.014632406740966256,0.007340394751695234,-0.03580137781581131,-0.04175657731842508,-0.0021788547779595996,0.005243671281124129,-0.0021788547779595996,0.8174214308871657,9.444444444444445,7.0,-0.05976674293466333,-0.05256267668816803,-0.05976674293466333,0.9500971619251914
breakout,lock25_2,CAT,22,0,16,6,0,0.7272727272727273,0.01875395952775595,0.013960414301600332,-0.04386383115207785,-0.0459703921594789,0.001676380251437641,0.007252113637774338,0.001676380251437641,1.140132027393907,7.681818181818182,6.5,-0.07592847390996615,-0.049722440879128235,-0.06288965841915067,0.6282306816003482
breakout,lock25_2,COIN,8,0,5,3,0,0.625,0.0178207265654593,0.01740560348466036,-0.0552951314016434,-0.049370320638020826,-0.009597720172204213,0.005321490495775905,-0.009597720172204213,0.5371397117531659,2.75,2.5,-0.10933888191320018,-0.0883498854668874,-0.10933888191320018,1.0
breakout,lock25_2,COP,13,0,9,4,0,0.6923076923076923,0.012517772355705207,0.01430873691616008,-0.052392098163267176,-0.05582445380327228,-0.007454495496286295,0.010745964559651044,-0.007454495496286295,0.5375808335174402,5.076923076923077,6.0,-0.08728507126135476,-0.07019794483452199,-0.08728507126135476,0.7475512000893348
breakout,lock25_2,COST,19,0,10,9,0,0.5263157894736842,0.014897575653517037,0.006240928421206826,-0.028848923775428408,-0.0327684886878199,-0.005824450391772911,0.005122225509867739,-0.005824450391772911,0.5737774471621634,7.842105263157895,6.0,-0.04041213320211934,-0.04031642164252867,-0.04041213320211934,0.8062432772323826
breakout,lock25_2,CRM,6,0,4,2,0,0.6666666666666666,0.04066187709064256,0.024023001018578793,-0.05041624764911645,-0.05041624764911645,0.010302502177389558,0.014143372440674207,0.010302502177389558,1.6130465469639197,11.5,11.5,-0.05043799155194173,-0.05042711960052909,-0.05043799155194173,1.0
breakout,lock25_2,CRWD,11,0,8,3,0,0.7272727272727273,0.0669090510376886,0.016407140123308683,-0.06710284505934845,-0.06643219638235953,0.03036035210213304,0.01196494791729763,0.03036035210213304,2.6589652933895342,10.090909090909092,6.0,-0.07103091126637961,-0.06873155382436957,-0.07103091126637961,0.9488443945876672
breakout,lock25_2,CVX,11,0,7,4,0,0.6363636363636364,0.06957418961172025,0.018153850848858122,-0.030324702683692417,-0.031122563521483404,0.03324731968611565,0.009175039307530719,0.03324731968611565,4.0150379408661445,12.363636363636363,6.0,-0.05136536844280126,-0.04219533187008262,-0.05136536844280126,0.9694793682239018
breakout,lock25_2,DDOG,11,0,7,4,0,0.6363636363636364,0.030291952858289957,0.023089282537996247,-0.07686431477097289,-0.03948896215691555,-0.008673962643260168,0.00612244897959191,-0.008673962643260168,0.6896687710019959,4.7272727272727275,3.0,-0.21953813037602288,-0.14253122164814463,-0.21953813037602288,0.9463032753560489
breakout,lock25_2,DE,14,0,8,6,0,0.5714285714285714,0.028043975906552,0.011462703107514627,-0.04798039836863329,-0.04740549537187555,-0.0045378987828131245,0.006390114371036981,-0.0045378987828131245,0.7793175785686535,5.642857142857143,4.5,-0.059122615510314724,-0.056111390100659894,-0.059122615510314724,0.8973155770895485
breakout,lock25_2,ETN,16,0,9,7,0,0.5625,0.019564129837720837,0.010993380509208839,-0.051125671948312114,-0.05464152533965139,-0.011362658443668579,0.0052599646841808845,-0.011362658443668579,0.4920009901357831,8.75,8.0,-0.0855862321524784,-0.07409136950852457,-0.0855862321524784,0.8471174468783558
breakout,lock25_2,GE,19,0,12,7,0,0.631578947368421,0.02888921986488513,0.008302716222633011,-0.03688681853343138,-0.045330392812371834,0.004655942560242207,0.005587905096340773,0.004655942560242207,1.3426036421749565,7.421052631578948,5.0,-0.062293147043900654,-0.05425994329495317,-0.062293147043900654,0.8618208955891293
breakout,lock25_2,GOOGL,10,0,6,4,0,0.6,0.06566471936519828,0.007265749570523283,-0.03810447903188774,-0.0443001824608093,0.024157040006363872,0.006517640454134388,0.024157040006363872,2.584921288790489,9.7,6.0,-0.06094292600285511,-0.0550891795844536,-0.06094292600285511,0.9837111061782579
breakout,lock25_2,GS,15,0,8,7,0,0.5333333333333333,0.02807894473106745,0.00998192353822236,-0.04233142722156068,-0.050095155551267756,-0.004779228846825675,0.0034779987163278125,-0.004779228846825675,0.7580708862432791,8.533333333333333,6.0,-0.0709964214813733,-0.06761928145664893,-0.0709964214813733,0.9229627699195999
breakout,lock25_2,HD,8,0,3,5,0,0.375,0.007613784484101253,0.007847811043626862,-0.022862769475993507,-0.02329750815714471,-0.011434061740957971,-0.011490293777679628,-0.011434061740957971,0.1998126559101929,6.5,5.5,-0.035221287441627,-0.034378899316100345,-0.035221287441627,1.0
breakout,lock25_2,HON,6,0,3,3,0,0.5,0.04392505588700435,0.053115659278153204,-0.04208141642814763,-0.04702385352053784,0.00092181972942836,0.002890883235288133,0.00092181972942836,1.04381125008006,10.333333333333334,6.5,-0.07401827670074856,-0.06726967090569588,-0.07401827670074856,1.0
breakout,lock25_2,HOOD,17,0,10,7,0,0.5882352941176471,0.03288271954556672,0.014616431707343724,-0.06668517125581495,-0.0374426864707782,-0.00811582372559044,0.007575770549594685,-0.00811582372559044,0.7044341755728435,4.235294117647059,3.0,-0.1437077899233894,-0.12349466723239626,-0.1437077899233894,0.8667260930086607
breakout,lock25_2,JPM,11,0,4,7,0,0.36363636363636365,0.037968970066008134,0.04226957702915346,-0.026479214869120842,-0.026426747041129017,-0.00304351125634667,-0.022593141995141397,-0.00304351125634667,0.8193805756958074,12.818181818181818,12.0,-0.03792858931098919,-0.0376038072516065,-0.03792858931098919,1.0
breakout,lock25_2,LLY,24,0,14,10,0,0.5833333333333334,0.02949217673488867,0.011121368250038954,-0.043982383151175156,-0.045726094416526364,-0.0011222232176379225,0.005331843364935196,-0.0011222232176379225,0.9387633063657886,6.791666666666667,4.0,-0.07505602680966805,-0.056516318649580274,-0.06582152817055426,0.8310176390382955
breakout,lock25_2,MA,9,0,4,5,0,0.4444444444444444,0.015624200595855342,0.009407666835030692,-0.028932108193191808,-0.02979915128920363,-0.00912930428694863,-0.021614908882919392,-0.00912930428694863,0.4320238398536604,8.11111111111111,7.0,-0.04054486304388594,-0.03664637348344486,-0.04054486304388594,1.0
breakout,lock25_2,META,12,0,7,5,0,0.5833333333333334,0.05372803319622773,0.012004962911661199,-0.054869848007824594,-0.05209541832117115,0.008478916027872596,0.0054026934728481635,0.008478916027872596,1.3708666818977218,9.75,5.0,-0.0671520363247643,-0.06464607526191307,-0.0671520363247643,0.9712696219329238
